Symbol,Date,Open,High,Low,Close,Volume
HBL,05-Jul-2021,123.15,124.45,122.50,122.61,413241
HBL,06-Jul-2021,123.90,125.90,122.51,125.50,2523758
HBL,07-Jul-2021,125.95,127.80,125.70,126.95,1409206
HBL,08-Jul-2021,127.24,128.55,127.15,128.28,1223609
HBL,09-Jul-2021,128.95,130.40,126.75,128.68,1872284
HBL,12-Jul-2021,129.44,129.95,127.31,129.03,483083
HBL,13-Jul-2021,129.50,129.50,127.50,128.97,777781
HBL,14-Jul-2021,129.30,129.49,127.62,128.93,641310
HBL,15-Jul-2021,129.45,129.59,128.00,128.41,470488
HBL,16-Jul-2021,129.01,130.50,128.00,129.97,1065671
HBL,19-Jul-2021,130.00,130.00,128.50,129.35,123932
HBL,23-Jul-2021,129.35,130.10,128.07,129.31,228896
HBL,26-Jul-2021,129.98,130.45,128.10,128.76,607740
HBL,27-Jul-2021,127.80,131.95,127.80,131.31,2267549
HBL,28-Jul-2021,131.90,131.90,129.55,130.80,802489
HBL,29-Jul-2021,131.00,131.00,128.50,128.93,531104
